数据统计时间 Thu Jul 28 14:34:27 2022
组别名称 dict_keys(['本科生 创意1组', '本科生 创意2组'])
平均分 84.27826086956523
8个组平均分 [84.31882352941179, 84.23885714285716]
总队数 69 [34, 35]
计算规则：最终成绩 = 专家评审平均分数 * （全部参赛项目平均分数 / 项目所在组平均分数）
+------+----------------------------------------------------------+------------------------------------+-----------+----------------+-------------------+---------+
| Star |                           name                           |             score_list             | ave_score |     group      |    final_score    | ranking |
+------+----------------------------------------------------------+------------------------------------+-----------+----------------+-------------------+---------+
|     |         三生万木潮拼玩具 ——新时代榫卯创新领航者          | [96.78, 92.36, 90.13, 90.0, 88.05] |   91.46   | 本科生 创意2组 |  91.5027815021114 |   1/69  |
|      |         “芯”希望——先进国产芯片通用测试技术开拓者         | [95.69, 92.19, 89.78, 87.55, 86.0] |   90.24   | 本科生 创意2组 | 90.28221083261026 |   2/69  |
|      |          全健民康—基于亲和小体的肝癌早筛先行者           | [92.15, 90.55, 90.0, 88.67, 87.67] |   89.81   | 本科生 创意2组 |  89.8520096949992 |   3/69  |
|      |           稳柔“管”家—多模态智能柔性管道机器人            | [93.1, 92.35, 90.11, 87.65, 84.84] |   89.61   | 本科生 创意1组 | 89.56689195132589 |   4/69  |
|      |    问鼎智井——险情预警物联网井盖，地下有限空间的守护者    | [93.0, 90.88, 90.46, 85.55, 84.69] |   88.92   | 本科生 创意2组 | 88.96159338692048 |   5/69  |
|      |          妙不可"盐"---多品种食用盐助力减盐行动           | [95.0, 87.34, 87.23, 86.65, 83.55] |   87.95   | 本科生 创意2组 | 87.99113965789087 |   6/69  |
|      |              核安——HPV居家检测 守护宫颈健康              | [91.33, 89.36, 86.0, 85.69, 85.55] |   87.59   | 本科生 创意2组 | 87.63097126361184 |   7/69  |
|      |                   Doit-笃易智能美缝机                    | [91.0, 89.36, 88.85, 86.51, 81.55] |   87.45   | 本科生 创意2组 | 87.49090577694778 |   8/69  |
|     |             海澹科技——全球激光海洋探测领导者             | [92.11, 90.21, 87.67, 84.12, 83.3] |   87.48   | 本科生 创意1组 |  87.4379166153553 |   9/69  |
|      |    高精度传感器“灵魂”——国内首款超低损耗声光调制器芯片    | [88.67, 88.52, 88.47, 88.4, 83.11] |   87.43   | 本科生 创意1组 | 87.38794066850154 |  10/69  |
|     |                   城市电气智能消防系统                   | [91.11, 90.4, 86.78, 84.69, 83.83] |   87.36   | 本科生 创意1组 | 87.31797434290625 |  11/69  |
|      |        “后生”可畏—用中国“肽”度实现抗衰保湿白科技         | [88.65, 88.11, 87.7, 85.56, 85.23] |   87.05   | 本科生 创意1组 | 87.00812347241288 |  12/69  |
