数据统计时间 Wed Jul 27 17:39:04 2022
组别名称 dict_keys(['本科生 创意1组', '本科生 创意2组', '本科生 创意3组', '本科生 创意4组', '本科生 创意5组', '本科生 创意6组'])
平均分 82.30958158995816
8个组平均分 [81.88575, 82.69075000000001, 80.91474999999998, 82.2315, 83.458, 82.68615384615386]
总队数 239 [40, 40, 40, 40, 40, 39]
计算规则：最终成绩 = 专家评审平均分数 * （全部参赛项目平均分数 / 项目所在组平均分数）
+------+-------------------------------------------------------------------------------+-------------------------------------+-----------+----------------+-------------------+---------+
| Star |                                      name                                     |              score_list             | ave_score |     group      |    final_score    | ranking |
+------+-------------------------------------------------------------------------------+-------------------------------------+-----------+----------------+-------------------+---------+
|      |                      ApplyOffer——数字化校园精准就业赋能者                     | [94.88, 93.81, 87.81, 86.77, 86.55] |   89.96   | 本科生 创意4组 | 90.04542006205209 |  1/239  |
|      |            一站“稻”底，妙不“壳”言：稻壳基功能材料开发与应用的先行者           |  [95.78, 91.0, 90.0, 88.11, 85.11]  |    90.0   | 本科生 创意2组 | 89.58513912494728 |  2/239  |
|     |                        海澹科技——全球激光海洋探测领导者                       |   [93.0, 92.1, 88.11, 88.08, 88.0]  |   89.86   | 本科生 创意2组 | 89.44578446408624 |  3/239  |
|      |               问鼎智井——险情预警物联网井盖，地下有限空间的守护者              |  [92.5, 90.17, 90.0, 87.11, 86.66]  |   89.29   | 本科生 创意2组 | 88.87841191629491 |  4/239  |
|      |               高精度传感器“灵魂”——国内首款超低损耗声光调制器芯片              |   [91.86, 91.2, 89.76, 89.1, 86.3]  |   89.64   | 本科生 创意5组 |  88.4065145788762 |  5/239  |
|     |                 “醇风致远”一种提升电动汽车冬季续航的热管理技术                | [92.27, 90.55, 88.55, 87.55, 82.15] |   88.21   | 本科生 创意4组 | 88.29375837787477 |  6/239  |
|      |                    “芯”希望——先进国产芯片通用测试技术开拓者                   |  [90.75, 89.68, 85.78, 84.9, 81.44] |   86.51   | 本科生 创意3组 | 88.00128410885878 |  7/239  |
|      |                 一种用于消化道健康监测及治疗的磁控内窥镜机器人                |  [90.58, 87.1, 86.67, 85.89, 85.32] |   87.11   | 本科生 创意1组 | 87.56087173044462 |  8/239  |
|      |                      稳柔“管”家—多模态智能柔性管道机器人                      |  [91.0, 89.1, 87.76, 87.12, 84.35]  |   87.87   | 本科生 创意6组 | 87.46981928517945 |  9/239  |
|      |                 无限深蓝——面向国家海洋开发战略的虾产品深度开发                |  [91.32, 90.5, 88.0, 87.08, 82.11]  |    87.8   | 本科生 创意2组 | 87.39528016855967 |  10/239 |
|      |              "盒"你一起收纳新鲜——聚乳酸基植物纤维：物流绿色化发展             |  [90.53, 87.98, 87.2, 87.16, 81.22] |   86.82   | 本科生 创意1组 | 87.26937072250259 |  11/239 |
|      |                     全健民康—基于亲和小体的肝癌早筛先行者                     | [91.11, 90.23, 88.55, 83.87, 82.11] |   87.17   | 本科生 创意4组 | 87.25277086270654 |  12/239 |
|      |                           iPrawn——对虾智慧养殖引领者                          |  [90.58, 89.4, 88.87, 88.66, 84.6]  |   88.42   | 本科生 创意5组 | 87.20330230995351 |  13/239 |
|      |                    用心制“罩”——致力于研发光催化长效灭菌口罩                   |  [93.99, 91.1, 87.5, 85.89, 78.87]  |   87.47   | 本科生 创意6组 | 87.07164097956807 |  14/239 |
|      |                   “后生”可畏—用中国“肽”度实现抗衰保湿白科技                   |  [88.9, 88.56, 87.16, 87.0, 85.08]  |   87.34   | 本科生 创意6组 | 86.94223303024437 |  15/239 |
|     |                    三生万木潮拼玩具 ——新时代榫卯创新领航者                    |  [92.5, 90.28, 86.85, 84.8, 82.14]  |   87.31   | 本科生 创意6组 | 86.91236965732352 |  16/239 |
|     |                              城市电气智能消防系统                             |  [91.1, 88.23, 86.79, 84.75, 84.1]  |   86.99   | 本科生 创意6组 | 86.59382701283441 |  17/239 |
