数据统计时间 Thu Jul 28 20:11:33 2022
组别名称 dict_keys(['本科生 创意1组', '本科生 创意2组', '研究生创意 本研初创组', '红旅'])
平均分 85.37117647058825
8个组平均分 [84.26305555555558, 84.20638888888891, 87.985, 86.46555555555554]
总队数 119 [36, 36, 20, 27]
计算规则：最终成绩 = 专家评审平均分数 * （全部参赛项目平均分数 / 项目所在组平均分数）
+------+--------------------------------------------------------------+-------------------------------------+-----------+-----------------------+-------------------+---------+
| Star |                             name                             |              score_list             | ave_score |         group         |    final_score    | ranking |
+------+--------------------------------------------------------------+-------------------------------------+-----------+-----------------------+-------------------+---------+
|     |           三生万木潮拼玩具 ——新时代榫卯创新领航者            |  [96.78, 92.36, 90.13, 90.0, 88.05] |   91.46   |     本科生 创意2组    | 92.72512339061102 |  1/119  |
|      |           “芯”希望——先进国产芯片通用测试技术开拓者           |  [95.69, 92.19, 89.78, 87.55, 86.0] |   90.24   |     本科生 创意2组    | 91.48824770138573 |  2/119  |
|      |            全健民康—基于亲和小体的肝癌早筛先行者             |  [92.15, 90.55, 90.0, 88.67, 87.67] |   89.81   |     本科生 创意2组    | 91.05229971256043 |  3/119  |
|      |             稳柔“管”家—多模态智能柔性管道机器人              |  [93.1, 92.35, 90.11, 87.65, 84.84] |   89.61   |     本科生 创意1组    | 90.78843715186198 |  4/119  |
|      |      问鼎智井——险情预警物联网井盖，地下有限空间的守护者      |  [93.0, 90.88, 90.46, 85.55, 84.69] |   88.92   |     本科生 创意2组    | 90.14998875894526 |  5/119  |
|      |                     稻香情 —金稻脱“壳”记                     | [94.11, 93.41, 93.21, 90.19, 82.16] |   90.62   |          红旅         | 89.47303885411324 |  6/119  |
|      |              助残筑梦-“艺”起点亮残疾人梦想之光               | [94.03, 91.66, 89.98, 89.92, 86.72] |   90.46   |          红旅         | 89.31506394552066 |  7/119  |
|      |            妙不可"盐"---多品种食用盐助力减盐行动             |  [95.0, 87.34, 87.23, 86.65, 83.55] |   87.95   |     本科生 创意2组    | 89.16657120275792 |  8/119  |
|     |             贝安居——国内气凝胶建筑保温行业引领者             |  [98.18, 94.24, 89.25, 88.67, 88.0] |   91.67   | 研究生创意 本研初创组 | 88.94670395020545 |  9/119  |
|      |                核安——HPV居家检测 守护宫颈健康                |  [91.33, 89.36, 86.0, 85.69, 85.55] |   87.59   |     本科生 创意2组    | 88.80159149118326 |  10/119 |
|      |                     Doit-笃易智能美缝机                      |  [91.0, 89.36, 88.85, 86.51, 81.55] |   87.45   |     本科生 创意2组    | 88.65965493668199 |  11/119 |
|     |               海澹科技——全球激光海洋探测领导者               |  [92.11, 90.21, 87.67, 84.12, 83.3] |   87.48   |     本科生 创意1组    |  88.630426091339  |  12/119 |
|      |      高精度传感器“灵魂”——国内首款超低损耗声光调制器芯片      |  [88.67, 88.52, 88.47, 88.4, 83.11] |   87.43   |     本科生 创意1组    |  88.579768554707  |  13/119 |
|     |                     城市电气智能消防系统                     |  [91.11, 90.4, 86.78, 84.69, 83.83] |   87.36   |     本科生 创意1组    |  88.5088480034222 |  14/119 |
|      |          “后生”可畏—用中国“肽”度实现抗衰保湿白科技           |  [88.65, 88.11, 87.7, 85.56, 85.23] |   87.05   |     本科生 创意1组    | 88.19477127630383 |  15/119 |
|      | “猪源动力”--世界机器人化克隆先行者，中国乡村产业振兴“猪”动力 | [92.33, 91.39, 89.52, 87.76, 84.58] |   89.12   |          红旅         | 87.99202408605795 |  16/119 |
|      |               钟鼎智能包装—助力双碳和抗疫先锋                |  [95.18, 93.21, 89.0, 88.26, 87.68] |   90.67   | 研究生创意 本研初创组 | 87.97641155410851 |  17/119 |
|      |               “凝静致远”——节能气凝胶材料创新者               |  [90.85, 90.0, 88.03, 86.12, 78.55] |   86.71   |     本科生 创意2组    |  87.9094188628896 |  18/119 |
|      |     潮生基因——RNA高纯提取与室温保存试剂盒（四相纯化法）      |  [90.11, 87.64, 85.8, 85.55, 83.16] |   86.45   |     本科生 创意1组    | 87.58688083671989 |  19/119 |
|      |        一种用于消化道健康监测及治疗的磁控内窥镜机器人        |  [88.32, 88.2, 86.67, 85.89, 83.11] |   86.44   |     本科生 创意1组    | 87.57674932939348 |  20/119 |
